City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-4.06,79,48,4.71,GS,1693950089
1,adamstown,-25.066,-130.1015,19.9,85,100,7.39,PN,1693950089
2,gazojak,41.1875,61.4036,21.16,33,4,4.65,TM,1693950089
3,tofol,5.3248,163.0078,28.6,75,58,5.18,FM,1693950090
4,nova olinda do norte,-3.8881,-59.0942,32.94,29,11,0.4,BR,1693950090
5,augusto correa,-1.0217,-46.635,26.37,75,15,3.17,BR,1693950090
6,sidi bouzid,35.0382,9.4849,22.62,55,0,6.6,TN,1693950090
7,jinchang,38.4953,102.1739,21.1,60,11,1.99,CN,1693950090
8,port-aux-francais,-49.35,70.2167,2.63,81,99,15.17,TF,1693950090
9,puerto natales,-51.7236,-72.4875,0.62,76,8,1.9,CL,1693950090
10,fale old settlement,-9.3852,-171.2468,27.92,80,54,8.43,TK,1693950090
11,kamaishi,39.2667,141.8833,23.36,93,100,2.61,JP,1693950091
12,obonoma,4.7084,6.7931,25.16,91,66,1.72,NG,1693950091
13,santa elena de uairen,4.6167,-61.1333,24.68,57,69,1.62,VE,1693950091
14,motomachi,43.8228,144.1044,20.69,92,100,0.79,JP,1693950091
15,puerto ayora,-0.7393,-90.3518,26.98,88,53,3.13,EC,1693949883
16,fortuna,40.5982,-124.1573,22.18,69,0,7.2,US,1693950091
17,ta`u,-14.2336,-169.5144,27.0,65,100,7.25,AS,1693950091
18,vila franca do campo,37.7167,-25.4333,21.23,84,36,8.28,PT,1693950091
19,blackmans bay,-43.0167,147.3167,10.41,68,95,3.59,AU,1693950091
20,isafjordur,66.0755,-23.124,12.17,90,89,8.03,IS,1693950092
21,bethel,41.3712,-73.414,31.68,70,0,2.57,US,1693950092
22,dryden,49.7833,-92.7503,15.16,94,100,4.63,CA,1693949899
23,kingston,17.997,-76.7936,31.53,81,40,8.23,JM,1693949558
24,port lincoln,-34.7333,135.8667,12.43,61,0,7.2,AU,1693950092
25,trenggalek,-8.05,111.7167,21.32,95,77,0.91,ID,1693950092
26,matai,-8.3,31.5167,19.79,52,54,0.8,TZ,1693950093
27,hualien city,23.9769,121.6044,26.97,86,100,1.29,TW,1693950093
28,ishigaki,24.3448,124.1572,26.07,100,100,1.54,JP,1693950093
29,strausberg,52.5786,13.8874,21.49,66,76,2.25,DE,1693950093
30,palu,-0.8917,119.8707,23.49,95,75,1.23,ID,1693950093
31,marsh harbour,26.5412,-77.0636,28.18,58,8,4.57,BS,1693950093
32,spring creek,40.7266,-115.5859,21.01,29,54,3.02,US,1693949826
33,edinburgh of the seven seas,-37.0676,-12.3116,14.12,87,100,14.27,SH,1693950093
34,gebeit,21.0667,36.3167,31.04,29,4,1.15,SD,1693950093
35,usinsk,65.9939,57.5281,11.72,89,90,6.49,RU,1693950093
36,sitka,57.0531,-135.33,15.94,59,20,2.57,US,1693950094
37,nouadhibou,20.931,-17.0347,24.99,65,20,7.2,MR,1693950094
38,pokhara,28.2333,83.9833,23.79,52,100,1.65,NP,1693950094
39,albany,42.6001,-73.9662,31.56,69,73,0.45,US,1693950094
40,sosnovskoye,55.8052,43.167,15.62,63,74,1.55,RU,1693950094
41,huarmey,-10.0681,-78.1522,21.38,74,95,5.72,PE,1693950094
42,lihue,21.9789,-159.3672,29.3,66,0,3.09,US,1693950094
43,port elizabeth,-33.918,25.5701,12.16,71,0,8.75,ZA,1693949885
44,labrador city,52.9463,-66.9114,22.95,38,75,3.6,CA,1693950095
45,al hawatah,13.4167,34.6333,24.33,80,74,1.95,SD,1693950095
46,nantucket,41.2835,-70.0995,29.03,84,0,4.12,US,1693950056
47,bilibino,68.0546,166.4372,1.52,69,95,2.14,RU,1693950095
48,laguna,38.421,-121.4238,33.05,35,0,2.57,US,1693949886
49,stanley,54.868,-1.6985,15.85,91,100,2.06,GB,1693950095
50,margaret river,-33.95,115.0667,13.46,53,84,9.66,AU,1693950095
51,ikryanoye,46.0932,47.7308,20.99,52,100,5.0,RU,1693950095
52,egilsstadir,65.2653,-14.3948,11.95,54,0,2.06,IS,1693950096
53,yaren,-0.5472,166.916,28.72,77,59,8.01,NR,1693950096
54,malango,-2.9627,119.9001,18.59,97,72,0.79,ID,1693950096
55,atafu village,-8.5421,-172.5159,28.4,78,7,7.52,TK,1693950096
56,ilulissat,69.2167,-51.1,7.01,87,75,1.54,GL,1693950096
57,kapuskasing,49.4169,-82.4331,34.05,43,40,7.72,CA,1693950096
