City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,19.26,87,100,9.2,PN,1693957067
1,jamestown,42.097,-79.2353,27.8,61,0,2.57,US,1693957082
2,reuleuet,5.2167,96.2833,25.71,79,99,1.49,ID,1693957647
3,avarua,-21.2078,-159.775,25.03,69,75,7.72,CK,1693957073
4,ilulissat,69.2167,-51.1,7.01,87,75,0.51,GL,1693957073
5,fale old settlement,-9.3852,-171.2468,27.94,80,48,8.55,TK,1693957067
6,kapuskasing,49.4169,-82.4331,31.05,45,20,6.69,CA,1693956782
7,stanley,54.868,-1.6985,15.44,94,100,1.54,GB,1693957066
8,itoman,26.1247,127.6694,30.01,79,20,4.63,JP,1693957120
9,port-aux-francais,-49.35,70.2167,2.77,81,99,14.79,TF,1693957062
10,guozhen,34.3659,107.359,21.86,68,56,1.0,CN,1693957648
11,birao,10.2849,22.7882,19.88,96,66,1.43,CF,1693957648
12,malango,-2.9627,119.9001,23.76,74,83,1.02,ID,1693957648
13,ji'an,27.1172,114.9793,23.9,95,100,2.2,CN,1693957648
14,new norfolk,-42.7826,147.0587,13.84,68,98,2.76,AU,1693957648
15,invercargill,-46.4,168.35,15.01,78,57,1.34,NZ,1693957072
16,presque isle,46.6811,-68.0159,25.24,71,20,2.06,US,1693957649
17,santa ana,33.7456,-117.8678,27.97,74,100,4.12,US,1693957364
18,bethel,41.3712,-73.414,29.2,80,0,1.54,US,1693957063
19,ifanadiana,-21.3,47.6333,14.76,97,10,1.42,MG,1693957649
20,lascano,-33.6667,-54.2,4.86,81,10,2.8,UY,1693957649
21,aasiaat,68.7098,-52.8699,3.54,97,100,4.84,GL,1693957070
22,ar rass,25.8694,43.4973,27.48,16,0,3.73,SA,1693957649
23,albany,42.6001,-73.9662,27.93,79,81,1.73,US,1693957006
24,vladimiro-aleksandrovskoye,42.8944,133.0778,20.75,56,3,4.46,RU,1693957649
25,grytviken,-54.2811,-36.5092,-4.12,79,39,4.95,GS,1693957064
26,cozumel,20.5083,-86.9458,30.04,89,75,3.09,MX,1693957091
27,sao francisco de assis,-29.5503,-55.1311,10.74,84,0,4.17,BR,1693957650
28,hithadhoo,-0.6,73.0833,28.06,73,94,6.23,MV,1693957091
29,bredasdorp,-34.5322,20.0403,6.04,83,4,3.86,ZA,1693957064
30,port elizabeth,-33.918,25.5701,12.16,62,0,6.17,ZA,1693957084
31,bilibino,68.0546,166.4372,3.21,63,95,4.4,RU,1693957065
32,behbahan,30.5959,50.2417,33.59,12,4,1.91,IR,1693957650
33,margaret river,-33.95,115.0667,13.17,54,70,9.66,AU,1693957067
34,kirensk,57.7853,108.1119,10.8,71,81,2.42,RU,1693957087
35,jayapura,-2.5333,140.7,27.66,67,73,1.95,ID,1693957650
36,liuduzhai,27.3661,110.935,23.98,85,78,1.21,CN,1693957651
