City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chonchi,-42.6128,-73.8092,281.71,96,100,2.83,CL,1693929030
1,blackmans bay,-43.0167,147.3167,280.76,69,12,3.07,AU,1693929030
2,port alfred,-33.5906,26.891,286.58,63,73,3.13,ZA,1693929030
3,tiksi,71.6872,128.8694,275.25,86,74,6.91,RU,1693929031
4,ballito,-29.539,31.2144,293.23,88,75,4.63,ZA,1693929031
5,clute,29.0247,-95.3988,308.21,64,20,5.66,US,1693929031
6,grytviken,-54.2811,-36.5092,271.68,90,39,4.04,GS,1693929031
7,afaahiti,-17.75,-149.2833,295.08,86,100,10.44,PF,1693929031
8,stanley,54.868,-1.6985,295.78,69,0,3.09,GB,1693929031
9,begoro,6.3871,-0.3774,297.46,87,82,1.4,GH,1693929032
10,nar'yan-mar,67.6713,53.087,287.28,83,97,3.69,RU,1693929032
11,vila franca do campo,37.7167,-25.4333,296.38,66,81,9.04,PT,1693929032
12,illizi,26.4833,8.4667,316.04,9,18,6.44,DZ,1693929032
13,atafu village,-8.5421,-172.5159,301.41,75,0,6.98,TK,1693929032
14,kamiiso,41.8167,140.65,295.52,95,100,1.36,JP,1693929033
15,jincheng,35.5022,112.8328,294.48,79,80,1.07,CN,1693929033
16,xai-xai,-25.0519,33.6442,296.84,56,3,3.06,MZ,1693929033
17,waitangi,-43.9535,-176.5597,283.05,94,100,0.89,NZ,1693928683
18,longyearbyen,78.2186,15.6401,280.06,87,75,0.0,SJ,1693929033
19,labytnangi,66.6572,66.4183,283.55,65,14,3.08,RU,1693929033
20,lubao,14.9167,120.55,299.99,93,100,1.35,PH,1693929034
21,thompson,55.7435,-97.8558,281.24,87,75,3.09,CA,1693929034
22,pangoa,-12.1167,-73.0,302.16,61,95,1.14,PE,1693929034
23,fort mcmurray,56.7268,-111.381,279.92,81,0,1.03,CA,1693929034
24,susuman,62.7833,148.1667,275.63,72,20,1.99,RU,1693929034
25,sereflikochisar,38.9393,33.5386,300.43,33,3,1.95,TR,1693929034
26,qarazhal,48.0078,70.7903,288.27,47,75,0.93,KZ,1693929034
27,tolanaro,-25.0319,46.9987,298.19,65,0,9.26,MG,1693929035
28,punta arenas,-53.15,-70.9167,273.77,86,97,3.94,CL,1693928958
29,college,64.8569,-147.8028,280.33,95,75,2.06,US,1693928748
30,sosnovka,56.255,51.2842,291.86,55,100,1.06,RU,1693929035
31,la'ie,21.6477,-157.9253,296.16,84,63,2.77,US,1693929035
32,georgetown,5.4112,100.3354,299.11,92,20,2.06,MY,1693929035
33,dryden,49.7833,-92.7503,295.31,78,40,2.57,CA,1693929035
